,pair_ID,a,b,ambiguous,template
0,0,My father has forgotten the ticket the front desk saved for us.,My father is forgetting the ticket the front desk saved for us.,True,1_RC_ambig_2
1,1,My brother has forgotten the ticket the box office saved for us.,My brother is forgetting the ticket the box office saved for us.,True,1_RC_ambig_2
2,2,My father has forgotten the ticket the box office saved for him.,My father is forgetting the ticket the box office saved for him.,True,1_RC_ambig_2
3,3,He has claimed the ticket the front desk saved for us.,He is claiming the ticket the front desk saved for us.,True,1_RC_ambig_2
4,4,My brother has forgotten the ticket the guy in the ticket booth saved for us.,My brother is forgetting the ticket the guy in the ticket booth saved for us.,True,1_RC_ambig_2
5,5,My father has forgotten the ticket the guy in the ticket booth saved for us.,My father is forgetting the ticket the guy in the ticket booth saved for us.,True,1_RC_ambig_2
6,6,My brother has claimed the ticket the box office saved for me.,My brother is claiming the ticket the box office saved for me.,True,1_RC_ambig_2
7,7,My father has forgotten the ticket the box office saved for us.,My father is forgetting the ticket the box office saved for us.,True,1_RC_ambig_2
8,8,He has forgotten the ticket the guy in the ticket booth saved for him.,He is forgetting the ticket the guy in the ticket booth saved for him.,True,1_RC_ambig_2
9,9,My brother has forgotten the ticket the front desk saved for him.,My brother is forgetting the ticket the front desk saved for him.,True,1_RC_ambig_2
10,10,My brother has forgotten the ticket the front desk saved for us.,My brother is forgetting the ticket the front desk saved for us.,True,1_RC_ambig_2
11,11,My brother has forgotten the ticket the front desk saved for me.,My brother is forgetting the ticket the front desk saved for me.,True,1_RC_ambig_2
12,12,He has forgotten the ticket the front desk saved for him.,He is forgetting the ticket the front desk saved for him.,True,1_RC_ambig_2
13,13,My father has claimed the ticket the box office saved for us.,My father is claiming the ticket the box office saved for us.,True,1_RC_ambig_2
14,14,My brother has forgotten the ticket the box office saved for him.,My brother is forgetting the ticket the box office saved for him.,True,1_RC_ambig_2
15,15,My father has claimed the ticket the box office saved for me.,My father is claiming the ticket the box office saved for me.,True,1_RC_ambig_2
16,16,He has forgotten the ticket the guy in the ticket booth saved for us.,He is forgetting the ticket the guy in the ticket booth saved for us.,True,1_RC_ambig_2
17,17,My brother has forgotten the ticket the box office saved for me.,My brother is forgetting the ticket the box office saved for me.,True,1_RC_ambig_2
18,18,My brother has forgotten the ticket the guy in the ticket booth saved for him.,My brother is forgetting the ticket the guy in the ticket booth saved for him.,True,1_RC_ambig_2
19,19,My father has forgotten the ticket the guy in the ticket booth saved for me.,My father is forgetting the ticket the guy in the ticket booth saved for me.,True,1_RC_ambig_2
20,20,He has forgotten the ticket the front desk saved for us.,He is forgetting the ticket the front desk saved for us.,True,1_RC_ambig_2
21,21,He has claimed the ticket the front desk saved for him.,He is claiming the ticket the front desk saved for him.,True,1_RC_ambig_2
22,22,My brother has claimed the ticket the front desk saved for me.,My brother is claiming the ticket the front desk saved for me.,True,1_RC_ambig_2
23,23,My father has claimed the ticket the guy in the ticket booth saved for us.,My father is claiming the ticket the guy in the ticket booth saved for us.,True,1_RC_ambig_2
24,24,He has claimed the ticket the front desk saved for me.,He is claiming the ticket the front desk saved for me.,True,1_RC_ambig_2
25,25,My father has forgotten the ticket the front desk saved for me.,My father is forgetting the ticket the front desk saved for me.,True,1_RC_ambig_2
26,26,My father has claimed the ticket the front desk saved for him.,My father is claiming the ticket the front desk saved for him.,True,1_RC_ambig_2
27,27,My brother has claimed the ticket the front desk saved for us.,My brother is claiming the ticket the front desk saved for us.,True,1_RC_ambig_2
28,28,My father has claimed the ticket the guy in the ticket booth saved for me.,My father is claiming the ticket the guy in the ticket booth saved for me.,True,1_RC_ambig_2
29,29,My father has forgotten the ticket the box office saved for me.,My father is forgetting the ticket the box office saved for me.,True,1_RC_ambig_2
30,30,He has claimed the ticket the box office saved for us.,He is claiming the ticket the box office saved for us.,True,1_RC_ambig_2
31,31,He has forgotten the ticket the front desk saved for me.,He is forgetting the ticket the front desk saved for me.,True,1_RC_ambig_2
32,32,My brother has claimed the ticket the guy in the ticket booth saved for him.,My brother is claiming the ticket the guy in the ticket booth saved for him.,True,1_RC_ambig_2
33,33,He has claimed the ticket the box office saved for me.,He is claiming the ticket the box office saved for me.,True,1_RC_ambig_2
34,34,My father has forgotten the ticket the front desk saved for him.,My father is forgetting the ticket the front desk saved for him.,True,1_RC_ambig_2
35,35,My father has forgotten the ticket the guy in the ticket booth saved for him.,My father is forgetting the ticket the guy in the ticket booth saved for him.,True,1_RC_ambig_2
36,36,My brother has claimed the ticket the box office saved for us.,My brother is claiming the ticket the box office saved for us.,True,1_RC_ambig_2
37,37,He has claimed the ticket the guy in the ticket booth saved for us.,He is claiming the ticket the guy in the ticket booth saved for us.,True,1_RC_ambig_2
38,38,My brother has claimed the ticket the guy in the ticket booth saved for us.,My brother is claiming the ticket the guy in the ticket booth saved for us.,True,1_RC_ambig_2
39,39,He has forgotten the ticket the box office saved for me.,He is forgetting the ticket the box office saved for me.,True,1_RC_ambig_2
40,40,My brother has claimed the ticket the guy in the ticket booth saved for me.,My brother is claiming the ticket the guy in the ticket booth saved for me.,True,1_RC_ambig_2
41,41,My brother has claimed the ticket the box office saved for him.,My brother is claiming the ticket the box office saved for him.,True,1_RC_ambig_2
42,42,He has forgotten the ticket the box office saved for us.,He is forgetting the ticket the box office saved for us.,True,1_RC_ambig_2
43,43,My father has claimed the ticket the front desk saved for me.,My father is claiming the ticket the front desk saved for me.,True,1_RC_ambig_2
44,44,He has claimed the ticket the box office saved for him.,He is claiming the ticket the box office saved for him.,True,1_RC_ambig_2
45,45,He has forgotten the ticket the box office saved for him.,He is forgetting the ticket the box office saved for him.,True,1_RC_ambig_2
46,46,He has claimed the ticket the guy in the ticket booth saved for him.,He is claiming the ticket the guy in the ticket booth saved for him.,True,1_RC_ambig_2
47,47,My father has claimed the ticket the front desk saved for us.,My father is claiming the ticket the front desk saved for us.,True,1_RC_ambig_2
48,48,My brother has claimed the ticket the front desk saved for him.,My brother is claiming the ticket the front desk saved for him.,True,1_RC_ambig_2
49,49,My father has claimed the ticket the guy in the ticket booth saved for him.,My father is claiming the ticket the guy in the ticket booth saved for him.,True,1_RC_ambig_2
50,50,My brother has forgotten the ticket the guy in the ticket booth saved for me.,My brother is forgetting the ticket the guy in the ticket booth saved for me.,True,1_RC_ambig_2
