,a,grammatical,b
0,Jason stuffed the truck with the fruit.,1,Jason stuffed the fruit into the truck.
1,Nicole stuffed the train with the fruit.,1,Nicole stuffed the fruit into the train.
2,Michael stuffed the boat with the fruit.,1,Michael stuffed the fruit into the boat.
3,Jason stuffed the trunk with the fruit.,1,Jason stuffed the fruit into the trunk.
4,Jessica stuffed the cabinet with the fruit.,1,Jessica stuffed the fruit into the cabinet.
5,Jessica stuffed the truck with the melons.,1,Jessica stuffed the melons into the truck.
6,David stuffed the train with the melons.,1,David stuffed the melons into the train.
7,Christopher stuffed the boat with the melons.,1,Christopher stuffed the melons into the boat.
8,David stuffed the trunk with the melons.,1,David stuffed the melons into the trunk.
9,Michael stuffed the cabinet with the melons.,1,Michael stuffed the melons into the cabinet.
10,Rebecca stuffed the truck with the boxes.,1,Rebecca stuffed the boxes into the truck.
11,Kelly stuffed the train with the boxes.,1,Kelly stuffed the boxes into the train.
12,James stuffed the boat with the boxes.,1,James stuffed the boxes into the boat.
13,Jason stuffed the trunk with the boxes.,1,Jason stuffed the boxes into the trunk.
14,Michael stuffed the cabinet with the boxes.,1,Michael stuffed the boxes into the cabinet.
15,Jason stuffed the truck with the packages.,1,Jason stuffed the packages into the truck.
16,Elizabeth stuffed the train with the packages.,1,Elizabeth stuffed the packages into the train.
17,Elizabeth stuffed the boat with the packages.,1,Elizabeth stuffed the packages into the boat.
18,Elizabeth stuffed the trunk with the packages.,1,Elizabeth stuffed the packages into the trunk.
19,Jessica stuffed the cabinet with the packages.,1,Jessica stuffed the packages into the cabinet.
20,Nicole stuffed the truck with the cargo.,1,Nicole stuffed the cargo into the truck.
21,Jessica stuffed the train with the cargo.,1,Jessica stuffed the cargo into the train.
22,Jessica stuffed the boat with the cargo.,1,Jessica stuffed the cargo into the boat.
23,David stuffed the trunk with the cargo.,1,David stuffed the cargo into the trunk.
24,David stuffed the cabinet with the cargo.,1,David stuffed the cargo into the cabinet.
25,Christopher packed the truck with the fruit.,1,Christopher packed the fruit into the truck.
26,Rebecca packed the train with the fruit.,1,Rebecca packed the fruit into the train.
27,Christopher packed the boat with the fruit.,1,Christopher packed the fruit into the boat.
28,Rebecca packed the trunk with the fruit.,1,Rebecca packed the fruit into the trunk.
29,Nicole packed the cabinet with the fruit.,1,Nicole packed the fruit into the cabinet.
30,Michael packed the truck with the melons.,1,Michael packed the melons into the truck.
31,David packed the train with the melons.,1,David packed the melons into the train.
32,David packed the boat with the melons.,1,David packed the melons into the boat.
33,Nicole packed the trunk with the melons.,1,Nicole packed the melons into the trunk.
34,Christopher packed the cabinet with the melons.,1,Christopher packed the melons into the cabinet.
35,Rebecca packed the truck with the boxes.,1,Rebecca packed the boxes into the truck.
36,Kelly packed the train with the boxes.,1,Kelly packed the boxes into the train.
37,Jessica packed the boat with the boxes.,1,Jessica packed the boxes into the boat.
38,Rebecca packed the trunk with the boxes.,1,Rebecca packed the boxes into the trunk.
39,Elizabeth packed the cabinet with the boxes.,1,Elizabeth packed the boxes into the cabinet.
40,James packed the truck with the packages.,1,James packed the packages into the truck.
41,Michael packed the train with the packages.,1,Michael packed the packages into the train.
42,Kelly packed the boat with the packages.,1,Kelly packed the packages into the boat.
43,David packed the trunk with the packages.,1,David packed the packages into the trunk.
44,Michael packed the cabinet with the packages.,1,Michael packed the packages into the cabinet.
45,Jessica packed the truck with the cargo.,1,Jessica packed the cargo into the truck.
46,Jason packed the train with the cargo.,1,Jason packed the cargo into the train.
47,Kelly packed the boat with the cargo.,1,Kelly packed the cargo into the boat.
48,James packed the trunk with the cargo.,1,James packed the cargo into the trunk.
49,James packed the cabinet with the cargo.,1,James packed the cargo into the cabinet.
50,Jessica sprayed the paper with paint.,1,Jessica sprayed paint onto the paper.
51,Jason sprayed the painting with paint.,1,Jason sprayed paint onto the painting.
52,Kelly sprayed the letterthe cloth with paint.,1,Kelly sprayed paint onto the letterthe cloth.
53,Nicole sprayed the paper with water.,1,Nicole sprayed water onto the paper.
54,David sprayed the painting with water.,1,David sprayed water onto the painting.
55,Jason sprayed the letterthe cloth with water.,1,Jason sprayed water onto the letterthe cloth.
56,Michael sprayed the paper with perfume.,1,Michael sprayed perfume onto the paper.
57,Michael sprayed the painting with perfume.,1,Michael sprayed perfume onto the painting.
58,Jason sprayed the letterthe cloth with perfume.,1,Jason sprayed perfume onto the letterthe cloth.
59,Jessica sprayed the paper with alcohol.,1,Jessica sprayed alcohol onto the paper.
60,Jason sprayed the painting with alcohol.,1,Jason sprayed alcohol onto the painting.
61,David sprayed the letterthe cloth with alcohol.,1,David sprayed alcohol onto the letterthe cloth.
62,Jessica sprayed the paper with fire retardant.,1,Jessica sprayed fire retardant onto the paper.
63,David sprayed the painting with fire retardant.,1,David sprayed fire retardant onto the painting.
64,Christopher sprayed the letterthe cloth with fire retardant.,1,Christopher sprayed fire retardant onto the letterthe cloth.
65,James sprayed the paper with cleanser.,1,James sprayed cleanser onto the paper.
66,Kelly sprayed the painting with cleanser.,1,Kelly sprayed cleanser onto the painting.
67,James sprayed the letterthe cloth with cleanser.,1,James sprayed cleanser onto the letterthe cloth.
68,James embellished the city with flowers.,0,James embellished flowers on the city.
