,a,grammatical,b
0,There blazed in the fireplace a fire.,1,A fire blazed in the fireplace.
1,There blazed in the oven a fire.,1,A fire blazed in the oven.
2,There blazed on the stove a fire.,1,A fire blazed on the stove.
3,There blazed in the fireplace a coal.,1,A coal blazed in the fireplace.
4,There blazed in the oven a coal.,1,A coal blazed in the oven.
5,There blazed on the stove a coal.,1,A coal blazed on the stove.
6,There blazed in the fireplace a log.,1,A log blazed in the fireplace.
7,There blazed in the oven a log.,1,A log blazed in the oven.
8,There blazed on the stove a log.,1,A log blazed on the stove.
9,There burned in the fireplace a fire.,1,A fire burned in the fireplace.
10,There burned in the oven a fire.,1,A fire burned in the oven.
11,There burned on the stove a fire.,1,A fire burned on the stove.
12,There burned in the fireplace a coal.,1,A coal burned in the fireplace.
13,There burned in the oven a coal.,1,A coal burned in the oven.
14,There burned on the stove a coal.,1,A coal burned on the stove.
15,There burned in the fireplace a log.,1,A log burned in the fireplace.
16,There burned in the oven a log.,1,A log burned in the oven.
17,There burned on the stove a log.,1,A log burned on the stove.
18,There crackled in the fireplace a fire.,1,A fire crackled in the fireplace.
19,There crackled in the oven a fire.,1,A fire crackled in the oven.
20,There crackled on the stove a fire.,1,A fire crackled on the stove.
21,There crackled in the fireplace a coal.,1,A coal crackled in the fireplace.
22,There crackled in the oven a coal.,1,A coal crackled in the oven.
23,There crackled on the stove a coal.,1,A coal crackled on the stove.
24,There crackled in the fireplace a log.,1,A log crackled in the fireplace.
25,There crackled in the oven a log.,1,A log crackled in the oven.
26,There crackled on the stove a log.,1,A log crackled on the stove.
27,There smoldered in the fireplace a fire.,1,A fire smoldered in the fireplace.
28,There smoldered in the oven a fire.,1,A fire smoldered in the oven.
29,There smoldered on the stove a fire.,1,A fire smoldered on the stove.
30,There smoldered in the fireplace a coal.,1,A coal smoldered in the fireplace.
31,There smoldered in the oven a coal.,1,A coal smoldered in the oven.
32,There smoldered on the stove a coal.,1,A coal smoldered on the stove.
33,There smoldered in the fireplace a log.,1,A log smoldered in the fireplace.
34,There smoldered in the oven a log.,1,A log smoldered in the oven.
35,There smoldered on the stove a log.,1,A log smoldered on the stove.
36,There grew at the edge of the cliff an orchid.,1,An orchid grew at the edge of the cliff.
37,There grew on the mountain an orchid.,1,An orchid grew on the mountain.
38,There grew at the edge of the cliff a cactus.,1,A cactus grew at the edge of the cliff.
39,There grew on the mountain a cactus.,1,A cactus grew on the mountain.
40,There grew at the edge of the cliff a tree.,1,A tree grew at the edge of the cliff.
41,There grew on the mountain a tree.,1,A tree grew on the mountain.
42,There thrived at the edge of the cliff an orchid.,1,An orchid thrived at the edge of the cliff.
43,There thrived on the mountain an orchid.,1,An orchid thrived on the mountain.
44,There thrived at the edge of the cliff a cactus.,1,A cactus thrived at the edge of the cliff.
45,There thrived on the mountain a cactus.,1,A cactus thrived on the mountain.
46,There thrived at the edge of the cliff a tree.,1,A tree thrived at the edge of the cliff.
47,There thrived on the mountain a tree.,1,A tree thrived on the mountain.
